ENT,seccion_1,seccion_2,seccion_3,seccion_4,seccion_5,seccion_6,seccion_7,seccion_8,seccion_9,cal_final
1.0,0.9586299932548927,0.8950472445938122,0.9083010970892127,0.3722176422093982,0.7555706041691199,0.18340284176325145,0.16323165704863973,0.383894176721873,0.622835943940643,0.6131067600989297
2.0,0.9064285318098442,0.7972731966020612,0.8024358192143257,0.37568639414277,0.7511701385862474,0.199447295696804,0.1839536302623551,0.6205308114704026,0.7734899328859061,0.6132752707581244
3.0,0.9122499122499158,0.8781556281556183,0.8307098307098253,0.45366795366795365,0.7189947600661897,0.16075687031569336,0.28957528957528955,0.4259389259389235,0.612934362934363,0.519787916666666
4.0,0.931064438652976,0.9331084879145701,0.7620530116314158,0.2630691399662732,0.5909198586685934,0.12143801871507394,0.11804384485666104,0.39229904440696695,0.4893198426082069,0.46387922705314116
5.0,0.9198637284390039,0.9275307744247854,0.8363891341609125,0.3600607697501688,0.7240715732613104,0.15777098145132518,0.34132343011478733,0.38359830581302107,0.62474679270763,0.5968913630229429
6.0,0.9437110834371131,0.9354583772391938,0.8871443624868208,0.40136986301369865,0.7547211350293543,0.16195809830781518,0.18767123287671234,0.5398256537982554,0.5458904109589041,0.6214911444141689
7.0,0.8430608783061951,0.6225413321992388,0.5786109191430698,0.07239115411195578,0.40773213051633717,0.11157973901378172,0.03144436765722184,0.2860887730099852,0.286109191430546,0.26971353916386165
8.0,0.8904995419518319,0.7822089735989948,0.7374492727190224,0.25192649673977474,0.6622200228639271,0.15267443076815748,0.10714285714285714,0.29089157730235415,0.5987700059276823,0.485376510159252
9.0,0.9037804300962101,0.9541531343150749,0.9036719016476865,0.2908232118758435,0.7895700790437272,0.23982354075233767,0.18440331598226334,0.7964263806369725,0.484287642182379,0.6461740289413574
10.0,0.9130806497577348,0.8262254986392931,0.7623066588584062,0.25055978504254367,0.6388954641417691,0.1170161481520512,0.11240483654276757,0.18162683711272978,0.583296014330497,0.44420756547041573
11.0,0.92862832065717,0.8894486805068965,0.8063179733855876,0.20881291874248412,0.668330183817212,0.11475514617459623,0.06639752619824772,0.2621480220517983,0.6273836110633911,0.5216135910224443
12.0,0.896340210422516,0.7673702879399031,0.678467102517784,0.0665122061482821,0.48871738568846096,0.11341446388681894,0.050406871609403256,0.3866728998849168,0.4371609403254973,0.4263577188940093
13.0,0.946805828669375,0.8634611829287524,0.8004607705107298,0.12590127565169162,0.6125214589440899,0.13653768773177555,0.029765206137918283,0.3143178876955829,0.5772786097245332,0.4604404510790194
14.0,0.9008450084814891,0.8549319547073622,0.8499813938653658,0.19562024879060125,0.682900891006013,0.14557629375177997,0.0580511402902557,0.5287404975812057,0.5450932964754664,0.5503212004034989
15.0,0.9178706188974664,0.9110447319049064,0.8488134031137944,0.23127941805733848,0.7065286692341076,0.1784518865312542,0.07753530166880616,0.6385346403701533,0.686007702182285,0.5924753370669921
16.0,0.8933489671689214,0.8791796842016516,0.8242210588533528,0.13597694840834249,0.6384555825623318,0.14713065797120214,0.05214050493962678,0.35107025246980755,0.5806805708013172,0.34070440251572254
17.0,0.912648994840781,0.9042036730392926,0.8612072858648008,0.18199608610567514,0.7179060665362034,0.17691665707378973,0.09099804305283757,0.6669098025262352,0.5887964774951077,0.6027808219178077
18.0,0.9470853573907031,0.889936876101003,0.779249853200225,0.13358778625954199,0.5987987322791717,0.11967753704535233,0.09351145038167939,0.2563150589868116,0.5188454198473282,0.5116178435114505
19.0,0.909197157845818,0.9000786649435188,0.8044951396303373,0.385390796201607,0.7496045079828862,0.1823675503802703,0.24514243973703434,0.46627398897668587,0.6412710007304602,0.5853771645783474
20.0,0.9054987273687868,0.7417286358649248,0.6663415823479705,0.03608029582673006,0.49206474983020665,0.09876355613560688,0.01827786582144744,0.09935936224367332,0.3010565240359218,0.23725427324151357
21.0,0.910319502556101,0.8729952006098689,0.7961731938757963,0.14944815676852616,0.6277171173296949,0.1309089624287254,0.06877393197687515,0.6307783139602566,0.6174262332006908,0.5224350608695653
22.0,0.939190835973679,0.8906991132192236,0.8264246923764184,0.22631814119749777,0.730200753223541,0.1553882142669402,0.054959785522788206,0.40526037858477354,0.5764075067024129,0.5718666219839137
23.0,0.9194896331738485,0.9295276653171374,0.7902834008097133,0.3701754385964912,0.6741378446115276,0.14230340557275534,0.09333333333333334,0.3909027113237605,0.40385964912280703,0.538872978436658
24.0,0.9130982367758472,0.8697001990452897,0.7409945218510049,0.12594458438287154,0.5803477379044091,0.11319151658831544,0.045569040531257154,0.24417011886669435,0.5788871078543623,0.43370335858082343
25.0,0.9172164386878119,0.8835526989654848,0.7775658096896796,0.15371171770972036,0.6480656743389781,0.12872493538027593,0.14414114513981358,0.25322448856070146,0.6137649800266312,0.44558160676532743
26.0,0.9298862725085542,0.7974292147307408,0.8173616680032292,0.2885926222935044,0.7233288463741484,0.16018857021557573,0.24859663191659984,0.4611503973171899,0.5868083400160385,0.5276039176016161
27.0,0.9129603201459455,0.8721849440412472,0.7367012337072595,0.16685547823272373,0.5812764432524976,0.10774539950305946,0.1566596536656417,0.3301769924524352,0.531396666127205,0.48153937910995454
28.0,0.9300243730210979,0.91445174720045,0.7915116704893707,0.2247557003257329,0.6699046067938578,0.1588625878815571,0.12853921322976697,0.44277806883669196,0.6403157103482836,0.5720959659233265
29.0,0.9517373325927331,0.9405451981826729,0.9008825526136996,0.2820773930753564,0.7157913878382284,0.17454574497823644,0.18533604887983707,0.5542121829290827,0.63306177868296,0.6198829715061062
30.0,0.9242463999744635,0.8305932893312205,0.7237483936513405,0.0784570978745736,0.5525469817945521,0.1073137100550086,0.041590133823143534,0.41959479338116495,0.5535292574127526,0.48630069438527795
31.0,0.9195187938325607,0.9487698086369276,0.806080945924928,0.34946547240681886,0.6865852148429495,0.15023454628890184,0.13377636521236635,0.36402511097685536,0.38832707310026005,0.4905901082305549
32.0,0.9376581400284003,0.8318576736605099,0.802588505048595,0.1660980427365775,0.6281359823512815,0.10675113284674567,0.08493445861016341,0.16096247082061382,0.5683246543365057,0.46075073746312867
