ENT,seccion_1,seccion_2,seccion_3,seccion_4,seccion_5,seccion_6,seccion_7,seccion_8,seccion_9,cal_final
1.0,1.0,0.8846153846153846,0.9230769230769232,0.5,0.7785714285714286,0.19117647058823528,0.0,0.3272727272727273,0.5,0.6164999999999999
2.0,1.0,0.8846153846153846,0.8461538461538461,0.5,0.7999999999999999,0.2058823529411765,0.0,0.6545454545454545,1.0,0.6285000000000001
3.0,1.0,0.8846153846153846,0.9230769230769232,0.5,0.7285714285714285,0.15882352941176472,0.0,0.3727272727272727,0.5,0.5895
4.0,1.0,0.9615384615384616,0.8461538461538461,0.0,0.5999999999999999,0.11470588235294114,0.0,0.3272727272727273,0.5,0.5105000000000001
5.0,1.0,0.9615384615384616,0.8461538461538461,0.5,0.7303571428571428,0.14705882352941174,0.0,0.3272727272727273,0.5,0.607
6.0,1.0,0.9615384615384616,0.9230769230769232,0.5,0.75,0.15882352941176472,0.0,0.5454545454545454,0.5,0.631
7.0,0.7272727272727273,0.6923076923076923,0.6153846153846154,0.0,0.4285714285714285,0.11470588235294114,0.0,0.1727272727272727,0.0,0.29
8.0,1.0,0.7692307692307693,0.8461538461538461,0.0,0.7089285714285714,0.14411764705882354,0.0,0.2181818181818181,0.5,0.525
9.0,1.0,1.0,0.9230769230769232,0.0,0.8214285714285714,0.25,0.0,0.8727272727272727,0.5,0.6480000000000001
10.0,1.0,0.8846153846153846,0.8461538461538461,0.0,0.6571428571428571,0.11470588235294114,0.0,0.10909090909090907,0.5,0.48200000000000004
11.0,1.0,0.8846153846153846,0.8461538461538461,0.0,0.6785714285714286,0.11470588235294114,0.0,0.2,0.5,0.5309999999999999
12.0,1.0,0.8461538461538461,0.6923076923076923,0.0,0.5,0.11470588235294114,0.0,0.3272727272727273,0.5,0.4515
13.0,1.0,0.8846153846153846,0.8461538461538461,0.0,0.6357142857142855,0.12941176470588234,0.0,0.2181818181818181,0.5,0.5
14.0,1.0,0.9230769230769232,0.9230769230769232,0.0,0.6785714285714286,0.14411764705882354,0.0,0.5454545454545454,0.5,0.5687500000000001
15.0,1.0,0.9230769230769232,0.9230769230769232,0.0,0.7285714285714285,0.17647058823529413,0.0,0.7000000000000001,0.5,0.6135
16.0,1.0,0.8846153846153846,0.8461538461538461,0.0,0.6464285714285715,0.14411764705882354,0.0,0.2181818181818181,0.5,0.4505
17.0,1.0,0.9230769230769232,0.9230769230769232,0.0,0.7107142857142856,0.17647058823529413,0.0,0.7636363636363637,0.5,0.6040000000000001
18.0,1.0,0.9230769230769232,0.8461538461538461,0.0,0.6178571428571428,0.11470588235294114,0.0,0.2181818181818181,0.5,0.51
19.0,1.0,0.9230769230769232,0.8461538461538461,0.5,0.7821428571428571,0.17647058823529413,0.0,0.4363636363636363,0.5,0.62
20.0,1.0,0.8076923076923077,0.6153846153846154,0.0,0.5071428571428571,0.1,0.0,0.0,0.0,0.30474999999999997
21.0,1.0,0.8846153846153846,0.8461538461538461,0.0,0.6571428571428571,0.12941176470588234,0.0,0.6545454545454545,0.5,0.5585
22.0,1.0,0.9230769230769232,0.8461538461538461,0.0,0.7428571428571429,0.16176470588235295,0.0,0.3272727272727273,0.5,0.5710000000000001
23.0,1.0,0.9615384615384616,0.8461538461538461,0.5,0.6785714285714286,0.12941176470588234,0.0,0.3090909090909091,0.5,0.54725
24.0,1.0,0.8846153846153846,0.8461538461538461,0.0,0.6178571428571428,0.11470588235294114,0.0,0.10909090909090907,0.5,0.4675
25.0,1.0,0.8846153846153846,0.8461538461538461,0.0,0.6535714285714286,0.12941176470588234,0.0,0.15454545454545454,0.5,0.493
26.0,1.0,0.8461538461538461,0.8461538461538461,0.0,0.7428571428571429,0.16176470588235295,0.0,0.4363636363636363,0.5,0.5705
27.0,1.0,0.9230769230769232,0.7692307692307693,0.0,0.5750000000000001,0.1,0.0,0.2636363636363636,0.5,0.4865
28.0,1.0,0.9230769230769232,0.8461538461538461,0.0,0.6785714285714286,0.15882352941176472,0.0,0.3727272727272727,0.5,0.5775
29.0,1.0,0.9615384615384616,0.9230769230769232,0.0,0.7285714285714285,0.17647058823529413,0.0,0.5454545454545454,0.5,0.61875
30.0,1.0,0.8846153846153846,0.7692307692307693,0.0,0.5714285714285714,0.11470588235294114,0.0,0.4363636363636363,0.5,0.4945000000000001
31.0,1.0,0.9615384615384616,0.8461538461538461,0.5,0.6785714285714286,0.14411764705882354,0.0,0.2636363636363636,0.5,0.54
32.0,1.0,0.8846153846153846,0.8461538461538461,0.0,0.6428571428571429,0.1,0.0,0.10909090909090907,0.5,0.48225
